f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,y
Source1,2022-02-09 19:45:00,-84.357954,33.923484,-84.35794200000002,0.6890000000000001,Incident on GA-400 SB near ABERNATHY RD Expect long delays.,Abernathy Rd NE,Atlanta,Fulton,GA,30328,US,KPDK,2022-02-09 19:53:00,37.0,28.96,WSW,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,2
Source1,2022-09-23 12:06:00,-120.424715,37.951115,-120.424699,0.025,Incident on CA-108 near MAIN ST Expect delays., State Highway 108,Jamestown,Tuolumne,CA,95327-9615,US,KO22,2022-09-23 12:15:00,30.0,27.81,SSE,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source3,2020-02-26 06:50:40,-118.467873,,,0.0,Accident on I-405 Southbound at Exit 64 Burbank Blvd.,Burbank Blvd,Encino,Los Angeles,CA,91436,US,KVNY,2020-02-26 06:51:00,16.0,29.43,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,2
Source1,2022-05-15 11:03:00,-82.490729,35.578967,-82.469269,1.351,Incident on I-40 EB near EXIT 53 Drive with caution.,I-240 E,Asheville,Buncombe,NC,28803,US,KAVL,2022-05-15 10:54:00,76.0,27.76,VAR,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2023-01-30 06:16:30,-83.904566,42.298282,-83.970218,3.3560000000000003,Stationary traffic on I-94 W from Baker Rd/Exit 167 (I-94) to Jackson Rd/Exit 162 (I-94) due to accident.,I-94 W,Dexter,Washtenaw,MI,48130,US,KARB,2023-01-30 06:10:00,88.0,29.3,NW,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,2
Source1,2017-05-01 08:40:44,-77.064033,38.8929,-77.05595,0.443,Between VA-110/Exit 75 and US-50/Potomac River Fwy - Accident.,Theodore Roosevelt Memorial Brg E,Washington,District of Columbia,DC,20037,US,KDCA,2017-05-01 08:52:00,76.0,29.94,South,15.0,,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2019-04-17 07:18:33,-91.112076,,,0.0,Accident on US-190-BR Florida Blvd at Lobdell Ave.,Lobdell Ave,Baton Rouge,East Baton Rouge,LA,70806-4610,US,KBTR,2019-04-17 06:53:00,93.0,29.96,E,5.0,0.0,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,2
Source1,2020-05-14 12:12:22,-77.52038,43.13729,-77.52038,0.0,At I-490 - Serious accident., Penfield Rd,Rochester,Monroe,NY,14625-2054,US,KROC,2020-05-14 11:54:00,37.0,29.56,SSE,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,3
Source2,2021-10-28 09:40:45,-82.566994,,,0.0,Left lane closed due to accident on I-26 Eastbound at Patton Ave.,I-240 W,Asheville,Buncombe,NC,28801,US,KAVL,2021-10-28 09:54:00,86.0,27.59,SE,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,3
Source1,2022-07-16 23:42:06.000000000,-110.969153,32.133957,-110.969179,0.012,Incident on S MISSIONDALE RD near S MISSIONDALE RD Expect delays., W Valencia Rd,Tucson,Pima,AZ,85706-6818,US,KTUS,2022-07-16 23:58:00,66.0,27.12,ESE,8.0,0.0,False,False,False,False,False,False,True,True,False,False,False,Night,Night,Night,2
Source2,2022-01-12 16:22:34,-71.42750500000002,,,0.0,Left lane blocked due to accident on US-6 Huntington Expy Eastbound at Dean St.,Huntington Expy,Providence,Providence,RI,02903,US,KPVD,2022-01-12 16:51:00,51.0,29.99,WSW,9.0,0.0,False,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,2
Source1,2020-06-09 20:17:00,-122.32246,47.6475,-122.32246,0.0,Ramp to I-5 Northbound - Accident. Right lane blocked.,I-5 N,Seattle,King,WA,98102,US,KBFI,2020-06-09 20:07:00,96.0,30.12,S,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Night,2
Source2,2016-06-23 15:51:03,-118.280518,,,0.0,Right hand shoulder blocked due to accident on I-110 Northbound near Exit 16 CA-42 Manchester Ave.,W Manchester Ave,Los Angeles,Los Angeles,CA,90003,US,KHHR,2016-06-23 15:53:00,64.0,29.94,WSW,12.7,,False,False,False,False,False,False,True,True,False,False,False,Day,Day,Day,3
Source1,2020-10-15 19:11:30,-119.305942,37.142947,-119.30806499999998,0.239,Queuing traffic on CA-168 from Huntington Lake Rd/Tollhouse Rd (CA-168) to Woodland Rd (Tollhouse Rd/CA-168) due to accident., Highway 168,Shaver Lake,Fresno,CA,93664,US,KFAT,2020-10-15 18:53:00,34.0,29.59,WNW,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,2
Source1,2022-07-12 07:38:53.000000000,-75.346163,40.29113,-75.346662,0.107,Incident on FORMAN RD near LOWER RD Drive with caution., Forman Rd,Souderton,Montgomery,PA,18964-2402,US,KUKT,2022-07-12 07:35:00,88.0,29.27,SSW,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2020-12-22 16:09:00,-79.06687,38.09957100000001,-79.071083,0.355,Incident on I-81 SB near MM 220 Expect delays.,I-64 W,Staunton,Augusta,VA,24401,US,KSHD,2020-12-22 16:15:00,55.0,28.88,WNW,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2020-11-28 15:38:15,-82.440063,,,0.0,Left lane blocked due to accident on I-185 Northbound at Exits 14A 14B I-85 Exit 42.,I-185 S,Greenville,Greenville,SC,29611,US,KGMU,2020-11-28 15:53:00,39.0,28.94,ESE,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,3
Source1,2021-06-13 17:20:00,-121.551021,39.127769,-121.549601,0.076,Incident on N BEALE RD near HOUSE 1814 Drive with caution., N Beale Rd,Marysville,Yuba,CA,95901-6934,US,KMYV,2021-06-13 16:53:00,24.0,29.76,SSW,13.0,0.0,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,2
Source2,2021-04-19 07:31:48,-77.498474,,,0.0,Left hand shoulder closed due to accident on I-95 Southbound after Exit 110 Ladysmith Rd.,I-95 S,Ruther Glen,Caroline,VA,22546,US,KOFP,2021-04-19 07:38:00,92.0,29.67,NW,6.0,0.06,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2019-12-22 11:48:18,-80.390694,,,0.0,Accident on Rembert Church Rd at Hatfield Rd.,Rembert Church Rd,Dalzell,Lee,SC,29040-9594,US,KSSC,2019-12-22 11:48:00,57.0,30.08,NE,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2021-03-27 13:50:33,-80.18508299999998,25.810352,-80.144072,2.552,Stationary traffic on I-195 E from Miami Ave (I-195) to Alton Rd (I-195) due to accident.,I-195 E,Miami,Miami-Dade,FL,33137,US,KMIA,2021-03-27 13:53:00,65.0,30.15,E,16.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2022-02-12 17:40:30.000000000,-82.45944300000002,28.069296,-82.45996600000002,0.084,Slow traffic on County Hwy-582A - US-41 Bus S - FL-685 from E Fletcher Ave to N Ola Ave due to accident., N Florida Ave,Tampa,Hillsborough,FL,33613-3213,US,KVDF,2022-02-12 17:35:00,36.0,30.03,NNW,7.0,0.0,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,2
Source2,2022-06-11 01:29:16,-118.281464,,,0.0,#1 lane blocked due to crash on I-10 Westbound at Exits 10 11 12 CA-110 Exits 22 22A 22B.,I-10 W,Los Angeles,Los Angeles,CA,90015,US,KCQT,2022-06-11 01:47:00,87.0,29.73,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,3
Source2,2018-08-20 08:44:46,-78.530037,,,0.0,One lane blocked due to accident on I-40 Eastbound at NC-242 Woodall Dairy Rd.,I-40 W,Benson,Johnston,NC,27504,US,KHRJ,2018-08-20 08:50:00,100.0,30.05,Calm,,,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,3
Source1,2022-09-26 07:08:39,-74.049904,40.76049,-74.050925,0.114,NJ DOT - STMC: Crash on US 1&amp;9/Tonnelle Avenue southbound North of Secaucus Rd (North Bergen Twp) 1 Right lane of 2 lanes closed, Tonnelle Ave,North Bergen,Hudson,NJ,07047-1508,US,KNYC,2022-09-26 06:51:00,90.0,29.58,SW,8.0,0.0,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2021-04-06 11:33:30,-74.88835930788571,40.11760439563693,-74.88880930788571,0.263,Slow traffic on I-95 S from US-1 Bus/PA-413/Exit 44 (I-95) to PA-413/Exit 40 (I-95) due to accident.,,Bristol,Bucks,PA,19007,US,KPNE,2021-04-06 11:54:00,20.0,29.88,NNW,14.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2023-02-03 06:55:00,-121.467722,36.536911,-121.462767,0.353,Accident on Old Stage Rd from Associated Ln to Iverson Rd., Old Stage Rd,Gonzales,Monterey,CA,93926-9407,US,KSNS,2023-02-03 06:53:00,57.0,30.14,SE,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,2
Source2,2020-12-03 12:58:52,-73.94516800000002,,,0.5199999809265137,Center lane blocked due to accident on I-278 Brooklyn Queens Expy Eastbound between Exit 32B and Exit 33.,Brooklyn Queens Expy,Brooklyn,Kings,NY,11222,US,KNYC,2020-12-03 12:51:00,34.0,30.08,,,0.0,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,3
Source1,2018-03-08 14:51:30,-117.26747,33.940733,-117.261624,0.335,At Frederick St - Accident.,Moreno Valley Fwy E,Moreno Valley,Riverside,CA,92553,US,KRIV,2018-03-08 14:56:00,13.0,29.98,WNW,9.2,,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2019-01-11 08:20:37,-98.564323,,,0.0,Accident on TX-345-LOOP Fredericksburg Rd near Chambers Rd.,Chambers Rd,San Antonio,Bexar,TX,78229,US,KSAT,2019-01-11 07:51:00,83.0,30.06,East,5.8,0.0,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,2
Source1,2022-11-04 08:50:59.000000000,-93.238294,44.291134,-93.242343,0.212,Incident on MN-60 near 11TH AVE Drive with caution., Kenyon Blvd,Faribault,Rice,MN,55021-8046,US,KFBL,2022-11-04 08:55:00,93.0,28.77,WNW,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2022-04-12 08:26:00,-117.69257426205782,34.083369802617625,-117.69465426205782,0.135,Accident on Central Ave (I-10) from Monte Vista Ave (I-10) to I-10 W - San Bernardino Fwy W.,I-10,Montclair,San Bernardino,CA,91763,US,KPOC,2022-04-12 08:47:00,71.0,28.91,SW,5.0,,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2022-01-31 13:50:41.000000000,-76.36861,39.555512,-76.36711899999997,0.216,US 1 NORTH/SOUTH AT ROCK SPRING RD,Belair Byp,Bel Air,Harford,MD,21014,US,KAPG,2022-01-31 13:58:00,46.0,30.28,E,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2019-05-01 07:25:49,-77.114113,,,0.0,Right hand shoulder blocked due to accident on I-395 Northbound at Exit 4 Seminary Rd.,Henry Shirley Memorial Hwy N,Alexandria,Alexandria,VA,22304,US,KDCA,2019-05-01 07:52:00,78.0,30.33,ENE,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2021-08-24 18:02:00,-123.160056,40.55259,-123.162548,0.134,Incident on CA-3 near FOREST AVE Drive with caution.,State Highway 3,Hayfork,Trinity,CA,96041,US,KO54,,,,,,,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2021-02-12 04:08:00,-81.98655699999998,29.726916,-81.98414,0.162,Incident on FL-26 near SHILOH RD Road closed. Take alternate route., State Road 26,Melrose,Putnam,FL,32666-3139,US,K42J,2021-02-12 04:21:00,93.0,29.81,SE,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,4
Source1,2018-09-27 09:19:12,-74.03403,41.23362,-74.0352,0.111,At RT-210/Gate Hill Rd/Exit 15 - Accident. Right lane blocked.,Palisades Interstate Pkwy S,Stony Point,Rockland,NY,10980,US,KHPN,2018-09-27 08:56:00,67.0,30.12,NNW,16.1,,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2022-05-17 17:33:22,-93.08912157968,44.97065263062961,-93.08882157968,1.034,Incident on I-35 SB near JENKS AVE Drive with caution.,I-35E S,Saint Paul,Ramsey,MN,55130,US,KSTP,2022-05-17 17:53:00,38.0,29.17,S,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2020-01-16 19:36:07,-79.764328,,,0.0,Accident on SC-51 2nd Loop Rd at US-52.,S Irby St,Florence,Florence,SC,29505,US,KFLO,2020-01-16 19:53:00,37.0,30.18,NW,6.0,0.0,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,2
Source1,2021-05-29 12:24:00,-72.144173,41.368256,-72.150429,0.331,ConnDOT: Crash (2 Vehicle) on I-95 Southbound between Exits 82 and 81. The left and center lanes are closed. Reported Saturday May 29 at 12:24 pm.,I-95 S,Waterford,New London,CT,06385,US,KGON,2021-05-29 11:56:00,89.0,30.0,NNE,15.0,0.05,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2017-09-23 05:14:42,-82.928658,,,0.0,Right hand shoulder blocked due to accident on I-94 Westbound at Exit 224A Edsel Ford Fwy.,Moross Rd,Detroit,Wayne,MI,48224,US,KDET,2017-09-23 04:53:00,87.0,30.08,North,3.5,,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,3
Source1,2022-05-29 05:01:30.000000000,-122.67872,45.470044,-122.683149,0.448,Slow traffic on Pacific Highway 1 S - I-5 S from Corbett Ave/Exit 298 (I-5) to Terwilliger Blvd/Exit 297 (I-5) due to accident.,I-5 S,Portland,Multnomah,OR,97239,US,KPDX,2022-05-29 04:53:00,86.0,29.91,W,10.0,0.04,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,2
Source2,2017-03-10 14:36:14,-122.223877,,,0.01,Right hand shoulder blocked due to accident on I-880 Southbound before Exit 38 CA-77 42nd Ave.,Nimitz Fwy S,Oakland,Alameda,CA,94601,US,KOAK,2017-03-10 14:53:00,68.0,30.11,West,5.8,,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,3
Source2,2019-01-10 08:53:39,-78.63217900000002,,,0.0,Accident on Six Forks Rd Northbound at Anderson Dr.,E Six Forks Rd,Raleigh,Wake,NC,27609,US,KRDU,2019-01-10 08:51:00,45.0,30.14,Variable,3.5,,False,False,False,False,False,False,True,True,False,True,False,Day,Day,Day,2
Source2,2020-01-10 13:24:37,-81.447525,,,0.0,Lane blocked due to accident on FL-50 Colonial Dr at Pine Hills Rd.,N Pine Hills Rd,Orlando,Orange,FL,32808,US,KORL,2020-01-10 13:53:00,54.0,30.18,ESE,18.0,0.0,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,2
Source2,2019-10-19 15:41:03,-121.917091,,,0.0,Accident on I-580 Westbound at Exits 44B 45 I-680 Exit 30.,I-580 W,Dublin,Alameda,CA,94568,US,KLVK,2019-10-19 15:53:00,68.0,29.63,W,10.0,0.0,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,3
Source2,2021-01-03 17:35:36,-95.205582,,,0.0,Three lanes blocked and right hand shoulder blocked due to accident on I-45 Gulf Fwy Southbound at Exits 31 33.,I-45 N,Houston,Harris,TX,77034,US,KHOU,2021-01-03 17:53:00,52.0,30.01,S,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,3
Source1,2019-12-08 10:50:00,-118.616855,34.4868,-118.616855,0.0,At Parker Rd - Accident.,I-5 N,Castaic,Los Angeles,CA,91384,US,K3A6,2019-12-08 10:51:00,90.0,29.19,SSE,7.0,0.06,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2018-06-02 10:25:24,-79.857338,,,0.0,Accident on Brassfield Rd at US-220 Battleground Ave.,Brassfield Rd,Greensboro,Guilford,NC,27410-9450,US,KGSO,2018-06-02 10:54:00,69.0,29.81,WNW,11.5,,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,2
Source2,2022-02-28 14:49:41,-82.26042199999998,,,0.0,Lane blocked due to crash on Pelham Rd at I-85 Exit 54.,I-85 S,Greenville,Greenville,SC,29615,US,KGMU,2022-02-28 14:53:00,25.0,29.04,S,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2018-10-31 08:06:23,-83.493401,,,0.0,Accident on Hills Cove Dr at Hills Lane Dr.,Hills Lane Dr,Goodrich,Genesee,MI,48438-9469,US,KFNT,2018-10-31 07:53:00,96.0,29.76,WNW,9.2,0.1,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,2
Source2,2021-09-14 16:04:50,-71.11895,,,0.0,One lane blocked due to accident on I-95 Northbound at Exit 55 / I-93.,I-95 S,Reading,Middlesex,MA,01867,US,KBVY,2021-09-14 15:54:00,27.0,29.95,SSE,10.0,0.0,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,3
Source2,2019-01-18 23:46:08,-74.45946500000002,,,0.0,Lane closed due to accident on US-30 Absecon Blvd Westbound at US-30 Absecon Blvd.,Absecon Blvd,Atlantic City,Atlantic,NJ,08401,US,KACY,2019-01-18 23:46:00,100.0,30.2,NW,3.5,,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,2
Source2,2018-03-07 20:42:10,-81.195084,,,0.0,Accident on I-20 Westbound at Exit 58 US-1 Augusta Rd.,Augusta Rd,Lexington,Lexington,SC,29073,US,KCAE,2018-03-07 20:56:00,60.0,29.95,West,4.6,,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,3
Source1,2021-12-31 07:32:09.000000000,-106.063068,39.624099,-106.072956,0.6859999999999999,Between Exit 218: Herman Gulch and Exit 216: US 6; Loveland Pass (2 miles east of Eisenhower Tunnel) at Mile Point 217. Stalled vehicle expect delays.,I-70 W,Dillon,Summit,CO,80435,US,KCCU,2021-12-31 16:48:00,86.0,20.24,SSE,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2022-08-16 09:13:38,-121.257896,44.163308,-121.25676599999998,0.126,A crash has occurred northbound lanes are closed. use an alternate route., N Highway 97,Bend,Deschutes,OR,97701-8029,US,KBDN,2022-08-16 09:15:00,33.0,26.55,N,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2020-06-28 14:32:54,-123.085548,,,0.0,Lane blocked due to accident on OR-22 Eastbound at Cherry Hill Ln.,Salem Dallas Hwy NW,Salem,Polk,OR,97304-4255,US,KSLE,2020-06-28 14:56:00,49.0,29.68,NW,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2022-06-07 10:41:00.000000000,-82.728925,27.862194,-82.72892399999998,0.387,Stationary traffic on FL-693 from CR-296/Bryan Dairy Rd (FL-693) to FL-694/Park Blvd (FL-693) due to accident., 66th St N,Pinellas Park,Pinellas,FL,33782-2310,US,KPIE,2022-06-07 10:53:00,79.0,29.97,ENE,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2018-09-13 07:18:22,-87.85709,41.98571,-87.85794,0.048,At River Rd Toll Plaza - Accident.,Jane Addams Memorial Tollway W,Des Plaines,Cook,IL,60018,US,KORD,2018-09-13 06:51:00,83.0,30.2,Calm,,,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2022-01-03 15:17:23,-111.158455,,,0.0,Lane blocked due to accident on US-6 Westbound at Starvation Rd.,US-6,Fairview,Utah,UT,84629,US,KPUC,2022-01-03 14:53:00,52.0,24.29,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source1,2021-01-24 08:46:00.000000000,-118.155617,34.029837,-118.156547,0.055,Accident from S Atlantic Blvd to S Vancouver Ave., S Woods Ave,Los Angeles,Los Angeles,CA,90022-1944,US,KCQT,2021-01-24 08:52:00,77.0,29.73,E,3.0,0.0,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,2
Source1,2021-11-01 22:40:00,-122.993527,39.158652,-122.994006,0.037,Incident on CA-20 WB near SCOTTS VALLEY RD Drive with caution., Scotts Valley Rd,Upper Lake,Lake,CA,95485-9600,US,KUKI,2021-11-01 22:56:00,93.0,29.48,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,2
Source2,2017-11-27 17:25:30,-104.804413,,,0.0,Lane blocked due to accident on Uintah St at Cedar St.,N Cedar St,Colorado Springs,El Paso,CO,80903-2723,US,KCOS,2017-11-27 17:54:00,14.0,29.64,Calm,,,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,2
Source1,2017-03-03 15:25:58,-73.54621,41.0451,-73.56396,0.929,Between Greenwich Ave/Exit 7 and Harvard Ave/West Ave/Exit 6 - Accident.,I-95 S,Stamford,Fairfield,CT,06902,US,KHPN,2017-03-03 14:56:00,24.0,30.19,West,12.7,,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2016-09-11 06:34:13,-118.395981,,,0.0,Accident on I-105 Eastbound at Exits 1B 1C 1D Imperial Hwy.,S Sepulveda Blvd,El Segundo,Los Angeles,CA,90245,US,KLAX,2016-09-11 06:53:00,87.0,30.07,West,4.6,,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,3
Source2,2020-07-16 15:56:46,-112.025154,,,0.0,Right lane blocked due to accident on I-15 Northbound at 2300 N.,I-15 N,Clearfield,Davis,UT,84015,US,KHIF,2020-07-16 15:58:00,15.0,25.21,W,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,3
Source2,2018-05-02 06:45:00,-80.014565,,,0.0,Restrictions due to accident on Crane Ave at PA-51 Saw Mill Run Blvd.,Saw Mill Run Blvd,Pittsburgh,Allegheny,PA,15211,US,KAGC,2018-05-02 06:53:00,44.0,30.16,South,10.4,,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,2
Source2,2018-12-06 12:19:14,-111.991318,,,0.0,Accident on Gateway Blvd at Van Buren St.,E Van Buren St,Phoenix,Maricopa,AZ,85008-6911,US,KPHX,2018-12-06 11:51:00,81.0,30.02,SW,3.5,,True,False,False,False,False,False,True,True,False,False,False,Day,Day,Day,2
Source2,2022-08-25 10:56:57,-80.372414,,,0.0,Right lane blocked due to crash on US-41 8th St at 109th Ave.,SW 109th Ave,Miami,Miami-Dade,FL,33174,US,KMIA,2022-08-25 10:53:00,63.0,30.03,ESE,10.0,0.0,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,2
Source2,2020-11-12 15:35:44,-93.399109,,,0.0,Accident on US-169 Southbound at CR-1 Old Shakopee Rd.,Shakopee Byp S,Savage,Scott,MN,55378,US,KFCM,2020-11-12 15:53:00,66.0,29.09,WNW,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
Source2,2016-04-29 03:27:08,-118.08186299999998,,,0.01,Middle lane blocked due to accident on I-5 Northbound at Pioneer Blvd.,Pioneer Blvd,Norwalk,Los Angeles,CA,90650,US,KFUL,2016-04-29 03:53:00,72.0,29.97,East,3.5,,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,3
Source1,2022-08-20 06:38:00,-118.48185182,34.13727095,-118.47119182,1.6780000000000002,Incident on I-405 NB near SKIRBALL CENTER DR Road closed. Take alternate route.,I-405,Los Angeles,Los Angeles,CA,90049,US,KSMO,2022-08-20 06:51:00,81.0,29.65,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,2
